tier,model,bench,arch,arch_key,N,n,acc,lo,hi,usd_1k,samples
T1,gpt-4.1-nano,MedAgentsBench-hard,Centralized,centralized,1,250,20.0,15.512326880286578,25.395703954690823,0.142352,2.584
T1,gpt-4.1-nano,MedAgentsBench-hard,Centralized,centralized,3,250,20.4,15.8704508175768,25.825472939600896,0.24596000000000004,4.496
T1,gpt-4.1-nano,MedAgentsBench-hard,Centralized,centralized,5,250,20.4,15.8704508175768,25.825472939600896,0.357888,6.6
T1,gpt-4.1-nano,MedAgentsBench-hard,Centralized,centralized,7,250,21.6,16.94915254237288,27.110449981405726,0.466464,8.656
T1,gpt-4.1-nano,MedAgentsBench-hard,Centralized,centralized,9,250,19.6,15.154950681109252,24.96518723166785,0.558568,10.568
T1,gpt-4.1-nano,MedAgentsBench-hard,Decentralized,discussion,1,250,18.0,13.73327388520246,23.235292338773437,0.047236,1.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Decentralized,discussion,3,250,15.6,11.626512943648533,20.614695747125555,0.208444,4.008
T1,gpt-4.1-nano,MedAgentsBench-hard,Decentralized,discussion,5,250,18.4,14.087481495903226,23.66897765027297,0.431232,7.6
T1,gpt-4.1-nano,MedAgentsBench-hard,Decentralized,discussion,7,250,17.2,13.027404955334546,22.365375424240742,0.614108,10.556
T1,gpt-4.1-nano,MedAgentsBench-hard,Decentralized,discussion,9,250,16.8,12.675788778063776,21.929098679311217,0.884224,14.4
T1,gpt-4.1-nano,MedAgentsBench-hard,Hybrid,tiered,1,250,16.0,11.975315933080616,21.053785679893778,0.047972,1.012
T1,gpt-4.1-nano,MedAgentsBench-hard,Hybrid,tiered,3,250,16.0,11.975315933080616,21.053785679893778,0.04944,1.036
T1,gpt-4.1-nano,MedAgentsBench-hard,Hybrid,tiered,5,250,16.0,11.975315933080616,21.053785679893778,0.050908,1.06
T1,gpt-4.1-nano,MedAgentsBench-hard,Hybrid,tiered,7,250,16.0,11.975315933080616,21.053785679893778,0.052372,1.084
T1,gpt-4.1-nano,MedAgentsBench-hard,Hybrid,tiered,9,250,16.0,11.975315933080616,21.053785679893778,0.053856,1.108
T1,gpt-4.1-nano,MedAgentsBench-hard,Independent,independent,1,250,18.0,13.73327388520246,23.235292338773437,0.047244,1.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Independent,independent,3,250,17.599999999999998,13.379907724930238,22.800765576845357,0.142136,3.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Independent,independent,5,250,16.400000000000002,12.325083757520048,21.491910777654645,0.237176,5.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Independent,independent,7,250,16.0,11.975315933080616,21.053785679893778,0.33236,7.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Independent,independent,9,250,16.400000000000002,12.325083757520048,21.491910777654645,0.427092,9.0
T1,gpt-4.1-nano,MedAgentsBench-hard,SAS CoT,cot,1,250,20.4,15.8704508175768,25.825472939600896,0.075096,1.0
T1,gpt-4.1-nano,MedAgentsBench-hard,SAS zero-shot,zeroshot,1,250,16.8,12.675788778063776,21.929098679311217,0.02802,1.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Self-consistency,sc,1,250,20.0,15.512326880286578,25.395703954690823,0.049536,1.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Self-consistency,sc,3,250,18.8,14.442509786439153,24.101842281937344,0.091804,3.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Self-consistency,sc,5,250,19.2,14.798339072642152,24.53390591793465,0.134092,5.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Self-consistency,sc,9,250,18.0,13.73327388520246,23.235292338773437,0.24696799999999997,9.0
T1,gpt-4.1-nano,MedAgentsBench-hard,Self-consistency,sc,15,250,18.4,14.087481495903226,23.66897765027297,0.373716,15.0
T1,gpt-4.1-nano,MedQA,Centralized,centralized,1,250,52.400000000000006,46.219676292977034,58.507681240224784,0.141768,2.472
T1,gpt-4.1-nano,MedQA,Centralized,centralized,3,250,62.8,56.65711761893972,68.55545589146992,0.248784,4.408
T1,gpt-4.1-nano,MedQA,Centralized,centralized,5,250,63.2,57.06410625109003,68.9363601815199,0.362624,6.456
T1,gpt-4.1-nano,MedQA,Centralized,centralized,7,250,63.6,57.47152623980124,69.31683311500902,0.46216,8.392
T1,gpt-4.1-nano,MedQA,Centralized,centralized,9,250,64.0,57.87938053589917,69.69687174111138,0.572148,10.464
T1,gpt-4.1-nano,MedQA,Decentralized,discussion,1,250,66.4,60.33580805392674,71.96780175628562,0.0494,1.0
T1,gpt-4.1-nano,MedQA,Decentralized,discussion,3,250,66.8,60.74679599095894,72.34470674145372,0.196984,3.648
T1,gpt-4.1-nano,MedQA,Decentralized,discussion,5,250,67.60000000000001,61.5701641795563,73.09712439725698,0.349784,6.26
T1,gpt-4.1-nano,MedQA,Decentralized,discussion,7,250,66.8,60.74679599095894,72.34470674145372,0.555812,9.408
T1,gpt-4.1-nano,MedQA,Decentralized,discussion,9,250,67.2,61.15824662757826,72.7211490270347,0.747796,12.384
T1,gpt-4.1-nano,MedQA,Hybrid,tiered,1,250,65.60000000000001,59.51520421031152,71.21261975550023,0.049236,1.0
T1,gpt-4.1-nano,MedQA,Hybrid,tiered,3,250,65.60000000000001,59.51520421031152,71.21261975550023,0.049236,1.0
T1,gpt-4.1-nano,MedQA,Hybrid,tiered,5,250,65.60000000000001,59.51520421031152,71.21261975550023,0.049236,1.0
T1,gpt-4.1-nano,MedQA,Hybrid,tiered,7,250,65.60000000000001,59.51520421031152,71.21261975550023,0.049236,1.0
T1,gpt-4.1-nano,MedQA,Hybrid,tiered,9,250,65.60000000000001,59.51520421031152,71.21261975550023,0.049236,1.0
T1,gpt-4.1-nano,MedQA,Independent,independent,1,250,66.4,60.33580805392674,71.96780175628562,0.0494,1.0
T1,gpt-4.1-nano,MedQA,Independent,independent,3,250,66.8,60.74679599095894,72.34470674145372,0.147904,3.0
T1,gpt-4.1-nano,MedQA,Independent,independent,5,250,66.8,60.74679599095894,72.34470674145372,0.24674799999999997,5.0
T1,gpt-4.1-nano,MedQA,Independent,independent,7,250,66.4,60.33580805392674,71.96780175628562,0.3458,7.0
T1,gpt-4.1-nano,MedQA,Independent,independent,9,250,67.2,61.15824662757826,72.7211490270347,0.445276,9.0
T1,gpt-4.1-nano,MedQA,SAS CoT,cot,1,250,66.0,59.92527876077032,71.59043812724175,0.082364,1.0
T1,gpt-4.1-nano,MedQA,SAS zero-shot,zeroshot,1,250,66.4,60.33580805392674,71.96780175628562,0.028996,1.0
T1,gpt-4.1-nano,MedQA,Self-consistency,sc,1,250,68.4,62.39541772841809,73.84765669279577,0.051908,1.0
T1,gpt-4.1-nano,MedQA,Self-consistency,sc,3,250,65.60000000000001,59.51520421031152,71.21261975550023,0.09694,3.0
T1,gpt-4.1-nano,MedQA,Self-consistency,sc,5,250,65.60000000000001,59.51520421031152,71.21261975550023,0.141988,5.0
T1,gpt-4.1-nano,MedQA,Self-consistency,sc,9,250,66.0,59.92527876077032,71.59043812724175,0.26146,9.0
T1,gpt-4.1-nano,MedQA,Self-consistency,sc,15,250,65.60000000000001,59.51520421031152,71.21261975550023,0.396956,15.0
T1,gpt-4.1-nano,MedXpertQA,Centralized,centralized,1,250,19.2,14.798339072642152,24.53390591793465,0.1661,2.672
T1,gpt-4.1-nano,MedXpertQA,Centralized,centralized,3,250,16.0,11.975315933080616,21.053785679893778,0.282272,4.6
T1,gpt-4.1-nano,MedXpertQA,Centralized,centralized,5,250,16.0,11.975315933080616,21.053785679893778,0.398492,6.568
T1,gpt-4.1-nano,MedXpertQA,Centralized,centralized,7,250,17.599999999999998,13.379907724930238,22.800765576845357,0.515176,8.624
T1,gpt-4.1-nano,MedXpertQA,Centralized,centralized,9,250,14.799999999999999,10.931920870538416,19.73350197583507,0.624464,10.592
T1,gpt-4.1-nano,MedXpertQA,Decentralized,discussion,1,250,16.0,11.975315933080616,21.053785679893778,0.053648,1.0
T1,gpt-4.1-nano,MedXpertQA,Decentralized,discussion,3,250,15.2,11.278704166232252,20.174611602341535,0.252288,4.236
T1,gpt-4.1-nano,MedXpertQA,Decentralized,discussion,5,250,16.8,12.675788778063776,21.929098679311217,0.4964279999999999,7.78
T1,gpt-4.1-nano,MedXpertQA,Decentralized,discussion,7,250,16.0,11.975315933080616,21.053785679893778,0.738828,11.228
T1,gpt-4.1-nano,MedXpertQA,Decentralized,discussion,9,250,16.400000000000002,12.325083757520048,21.491910777654645,1.04756,15.264
T1,gpt-4.1-nano,MedXpertQA,Hybrid,tiered,1,250,18.0,13.73327388520246,23.235292338773437,0.053636,1.004
T1,gpt-4.1-nano,MedXpertQA,Hybrid,tiered,3,250,18.0,13.73327388520246,23.235292338773437,0.054156,1.012
T1,gpt-4.1-nano,MedXpertQA,Hybrid,tiered,5,250,18.0,13.73327388520246,23.235292338773437,0.054584,1.02
T1,gpt-4.1-nano,MedXpertQA,Hybrid,tiered,7,250,18.0,13.73327388520246,23.235292338773437,0.055176,1.028
T1,gpt-4.1-nano,MedXpertQA,Hybrid,tiered,9,250,18.0,13.73327388520246,23.235292338773437,0.055648,1.036
T1,gpt-4.1-nano,MedXpertQA,Independent,independent,1,500,15.8,12.865220637281748,19.25630327023204,0.054174,1.0
T1,gpt-4.1-nano,MedXpertQA,Independent,independent,3,500,15.8,12.865220637281748,19.25630327023204,0.162368,3.0
T1,gpt-4.1-nano,MedXpertQA,Independent,independent,5,250,16.0,11.975315933080616,21.053785679893778,0.268408,5.0
T1,gpt-4.1-nano,MedXpertQA,Independent,independent,7,250,16.0,11.975315933080616,21.053785679893778,0.3755,7.0
T1,gpt-4.1-nano,MedXpertQA,Independent,independent,9,250,16.0,11.975315933080616,21.053785679893778,0.482872,9.0
T1,gpt-4.1-nano,MedXpertQA,SAS CoT,cot,1,250,15.6,11.626512943648533,20.614695747125555,0.085204,1.0
T1,gpt-4.1-nano,MedXpertQA,SAS zero-shot,zeroshot,1,250,16.400000000000002,12.325083757520048,21.491910777654645,0.033652,1.0
T1,gpt-4.1-nano,MedXpertQA,Self-consistency,sc,1,250,16.0,11.975315933080616,21.053785679893778,0.056044,1.0
T1,gpt-4.1-nano,MedXpertQA,Self-consistency,sc,3,250,16.400000000000002,12.325083757520048,21.491910777654645,0.100084,3.0
T1,gpt-4.1-nano,MedXpertQA,Self-consistency,sc,5,250,16.0,11.975315933080616,21.053785679893778,0.144128,5.0
T1,gpt-4.1-nano,MedXpertQA,Self-consistency,sc,9,250,15.6,11.626512943648533,20.614695747125555,0.266076,9.0
T1,gpt-4.1-nano,MedXpertQA,Self-consistency,sc,15,250,16.0,11.975315933080616,21.053785679893778,0.397568,15.0
T2,gpt-5-nano,MedAgentsBench-hard,Centralized,centralized,1,250,32.800000000000004,27.27885097296531,38.84175337242174,0.618192,2.552
T2,gpt-5-nano,MedAgentsBench-hard,Centralized,centralized,3,250,34.4,28.787380244499772,40.48479578968848,0.92994,4.72
T2,gpt-5-nano,MedAgentsBench-hard,Centralized,centralized,5,250,32.800000000000004,27.27885097296531,38.84175337242174,1.246916,6.68
T2,gpt-5-nano,MedAgentsBench-hard,Centralized,centralized,7,250,32.4,26.902875602743027,38.429835820443714,1.591092,8.84
T2,gpt-5-nano,MedAgentsBench-hard,Centralized,centralized,9,250,32.800000000000004,27.27885097296531,38.84175337242174,1.911864,10.784
T2,gpt-5-nano,MedAgentsBench-hard,Decentralized,discussion,1,250,33.6,28.03219824371439,39.66419194607326,0.164856,1.012
T2,gpt-5-nano,MedAgentsBench-hard,Decentralized,discussion,3,250,34.0,28.40956187275826,40.074721239229696,0.734052,4.32
T2,gpt-5-nano,MedAgentsBench-hard,Decentralized,discussion,5,250,33.2,27.655293258546276,39.25320400904108,1.336084,8.12
T2,gpt-5-nano,MedAgentsBench-hard,Decentralized,discussion,7,250,34.0,28.40956187275826,40.074721239229696,2.10694,12.404
T2,gpt-5-nano,MedAgentsBench-hard,Decentralized,discussion,9,250,34.4,28.787380244499772,40.48479578968848,2.91662,16.704
T2,gpt-5-nano,MedAgentsBench-hard,Hybrid,tiered,1,250,32.4,26.902875602743027,38.429835820443714,0.264328,1.516
T2,gpt-5-nano,MedAgentsBench-hard,Hybrid,tiered,3,250,33.2,27.655293258546276,39.25320400904108,0.494636,2.68
T2,gpt-5-nano,MedAgentsBench-hard,Hybrid,tiered,5,250,34.0,28.40956187275826,40.074721239229696,0.7278,3.92
T2,gpt-5-nano,MedAgentsBench-hard,Hybrid,tiered,7,250,32.800000000000004,27.27885097296531,38.84175337242174,0.938156,4.976
T2,gpt-5-nano,MedAgentsBench-hard,Hybrid,tiered,9,250,32.800000000000004,27.27885097296531,38.84175337242174,1.157368,6.112
T2,gpt-5-nano,MedAgentsBench-hard,Independent,independent,1,250,33.6,28.03219824371439,39.66419194607326,0.162544,1.0
T2,gpt-5-nano,MedAgentsBench-hard,Independent,independent,3,250,34.8,29.165649607070655,40.89441934931789,0.477592,3.0
